x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",x
x,",",p,",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",x
x,",",",",",",t,t,",",",",",",",",",",",",",",",",",",",",",",",",",",x
x,",",",",",",t,",",",",t,",",",",",",",",",",x,",",",",",",",",",",x
x,",",",",e,t,",",",",",",",",",",",",",",x,",",",",",",",",",",",",x
x,",",",",",",t,",",",",",",",",",",",",x,",",",",",",",",t,",",",",x
x,",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",x
x,",",",",x,",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",x
x,",",",",x,",",",",t,",",",",",",",",",",",",",",",",t,",",",",",",x
x,",",",",x,",",",",",",",",",",",",e,",",",",",",",",",",",",",",",",x
x,",",",",x,",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",x
x,",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",x
x,",",",",",",",",",",",",",",",",",",",",",",",",",",t,",",",",",",",",x
x,",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",x
x,",",",",",",",",",",",",x,x,x,",",",",",",",",",",",",",",",",",",x
x,",",",",",",",",",",",",",",",",x,x,x,",",",",",",",",",",",",",",x
x,",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",x
x,",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",",x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
